Index page,"Oorspr. naam op de kaart/
Original name on the map","Tegenwoordige naam/
Present name","Soortnaam/
Category","Coördinaten/
Coordinates","Kaartvak/
Map grid square","Kaart/
Map","Pagina/
Page"
403,"Corimba, Ilhas do",Kerimba Islands/I. Quirimba/I. Quirambo,eiland/island,12-25S/40-36E,A2,I-2a,p. 42
403,"Corimba, Ilhas do",Kerimba Islands/I. Quirimba/I. Quirambo,eiland/island,12-25S/40-36E,A2,I-2a,p. 42
403,Coringe,Coringa,plaats/settlement,16-48N/82-13E,B2R,I-24,p. 178
403,Coringe,Coringa,plaats/settlement,16-48N/82-13E,A2,I-2b,p. 44
403,"Corintas, Caap dos",Cabo das Correntes,kaap/cape,24-06S/35-30E,A1,I-8b,p. 66
403,"Corintos, C. de",Cabo das Correntes,kaap/cape,24-06S/35-30E,B1,I-1,p. 40
403,"Corintos, C. de",Cabo das Correntes,kaap/cape,24-06S/35-30E,A1,I-2a,p. 42
403,Corkee,Korukkai,plaats/settlement,10-55N/79-24E,A2/3R,I-25a,p. 180
403,Cormandel,Coromandelkust/Coromandel Coast,landstreek/region,13N/80E,A2,I-1,p. 40
403,Cormandel,Coromandelkust/Coromandel Coast,landstreek/region,13N/80E,A2,I-2b,p. 44
403,Cormandel,Coromandelkust/Coromandel Coast,landstreek/region,13N/80E,A2-B2,I-21,p. 124
403,Cormandel,Coromandelkust/Coromandel Coast,landstreek/region,13N/80E,A2,I-23a,p. 138
403,"Cormandel, De Cust van",Coromandelkust/Coromandel Coast,landstreek/region,13N/80E,A1/2L,I-23u,p. 176
403,Coomandel,Coromandelkust/Coromandel Coast,landstreek/region,13N/80E,A/B1L,I-24,p. 178
403,"Cormo, C. de",Cap Andavaka,kaap/cape,25-11S/46-40E,B1,I-2a,p. 42
403,Cornating,-,-,-,B2,II-1b,p. 236
403,Cornom,-,-,-,B1,II-8,p. 288
403,"Cornum, Po.",Ko Samui,eiland/island,09-30N/100E,B1,II-8,p. 288
403,Coroan,Gorong,eiland/island,04-00S/131-24E,B2,II-46a,p. 388
403,Corobaffo,Korobafo,landstreek/region,10-37S/123-15E,B2,II-14,p. 300
403,Coronboewatte,-,plaats/settlement,-,B2,I-23b,p. 140
403,Corondolo,Wadi Dara?,rivier/river,28-02N/33-22E,A3,I-2a,p. 42
403,Coroni,Koroni,plaats/settlement,04-40S/122-51E,B1LO,II-17c,p. 308
403,Coroony,Koroni,plaats/settlement,04-39S/123-04E,B2,II-17b,p. 306
403,"Corrao, Riv. de",Khowr-e Musa,rivier/river,30-10N/49-00E,B3,I-2a,p. 42
403,Correcorre of Nixoway,Pasir Bale,rif/reef,00-14S/127-26E,B1,II-28,p. 338
403,Correttij,-,plaats/settlement,-,01-A2,I-22a,p. 126-128
403,Correwasel,Kudawasa,plaats/settlement,10-51N/79-28E,A3R,I-25a,p. 180
403,"Corro, Riv.",-,rivier/river,-,A1,II-14,p. 300
403,Corsocaan,Khawr al-Hablayn,baai/bay,26-07N/56-24E,A1,I-13a,p. 102
403,Corsocaan,Khawr al-Hablayn,baai/bay,26-07N/56-24E,B3,I-13b,p. 104
403,Corsocaan,Khawr al-Hablayn,baai/bay,26-07N/56-24E,A1L,I-13c,p. 106
403,"Corumba, Ilhas de",I. Quirimba/I. Quirambo/I. do .Ibo,eiland/island,12-25S/40-36E,B1,I-8e,p. 72
403,Cosgote,Kosgoda,plaats/settlement,06-19N/80-01E,B2,I-23a,p. 138
403,Cosgote,Kosgoda,plaats/settlement,06-19N/80-01E,A1,I-23b,p. 140
403,Cosijqu,Koshikijima-retto/ Koshiki Islands,eilanden/islands,31-45N/129-48E,B2,II-40a,p. 368
403,Cosmoledo,Cosmoledo,eilanden/islands,10S/47-40E,B1,I-1,p. 40
403,Cosmoledo,Cosmoledo,eilanden/islands,10S/47-40E,B2,I-2a,p. 42
403,Costa do Suaquam,-,landstreek/region,-,A3,I-2a,p. 42
403,Costa dos Ilhaos,Lamu Archipelago,eilanden/islands,02-16-49S/40-51-29E,A2,I-2a,p. 42
403,Costa dos Ilheos,Lamu Archipelago,eilanden/islands,02-16-49S/40-51-29E,A2,I-8f,p. 74
403,Costa dos Picos,Khowr Rabch/Meydan,landstreek/region,25-33N/59-15E,A2,I-13a,p. 102
403,Costa dos Piquos,Khowr Rabch/Meydan,landstreek/region,25-33N/59-15E,B3,I-2a,p. 42
403,Cota,Sri Jayawardenapura Kotte,plaats/settlement,06-55N/79-52E,B2,I-23a,p. 138
403,Cota Ringin,Kota Waringin,plaats/settlement,02-55S/111-25E,A1,II-1a,p. 234
403,Cotamkoeripo,Katankuddy,plaats/settlement,07-41N/81-43E,B2,I-23a,p. 138
403,Cotiar,Mutur,plaats/settlement,08-27N/81-14E,A3,I-23a,p. 138
403,Cotiar,Mutur,plaats/settlement,08-27N/81-14E,B2,I-23b,p. 140
403,Cotiar,Mutur,plaats/settlement,08-27N/81-14E,A1L,I-23d,p. 144
403,"Cotiar, De Lage Hoek van",Kevuliya Point/Foul Point,kaap/cape,08-32N/81-19E,A1L,I-23d,p. 144
403,"Cotiar, t Landschap van",<Koddiyar Aru>,landstreek/region,08-26N/81-14E,A1L,I-23d,p. 144
403,Cotiewatte,-,plaats/settlement,-,A1,I-23r,p. 170
403,Cotjaer,Mutur,plaats/settlement,08-27N/81-14E,A1LB,I-23l,p. 158
403,"Cotjaer, De Hoek van",Kevuliya Point/Foul Point,kaap/cape,08-32N/81-19E,A2LB,I-23l,p. 158
403,Cotlattij,-,plaats/settlement,-,01-A2,I-22a,p. 126-128
403,Cotocoepon,-,landstreek/region,11-55N/79-50E,A3RB,I-25f,p. 190
403,Cotong,-,-,-,B1LO,II-17c,p. 308
403,Cottandercoelaon,Kottandarkulam,plaats/settlement,09-34N/80-25E,A3,I-23r,p. 170
403,"Cottatta, Basaar",-,plaats/settlement,-,02-A3,I-22a,p. 126-128
403,Cotten Teuga,-,-,-,B3,I-34,p. 214
403,Cottimbawolle,-,plaats/settlement,-,B2,I-23a,p. 138
403,Cottugoda,Kotugoda,plaats/settlement,07-08N/79-54E,B2,I-23a,p. 138
403,Cotty,-,plaats/settlement,-,02-A2,I-22a,p. 126-128
403,Couchin,Cochin/Kochi,plaats/settlement,09-55N/76-14E,A2/3,I-22c,p. 132
403,Couchin,Cochin/Kochi,plaats/settlement,09-55N/76-14E,A2,I-1,p. 40
403,Couchin,Cochin/Kochi,plaats/settlement,09-55N/76-14E,A1,I-2b,p. 44
403,Couchin china,Cochin China + Annam,landstreek/region,12N/108E,A3,II-8,p. 288
403,Couchinchina,Cochin China + Annam,landstreek/region,12N/108E,B1,II-1b,p. 236
403,Couchinchina,Cochin China + Annam,landstreek/region,12N/108E,A3,I-1,p. 40
403,"Couchinchina, Enceade De",Golf van Tonkin/Gulf of Tonkin,baai/bay,20N/108E,A1/A2,II-33a,p. 348
403,"Couchinchina, Enceade De",Golf van Tonkin/Gulf of Tonkin,baai/bay,20N/108E,A1,II-1b,p. 236
403,"Couchinchina, Enceade De",Golf van Tonkin/Gulf of Tonkin,baai/bay,20N/108E,A3,I-1,p. 40
403,"Coudougalang, Negery",Kedoenghalang/Kedunghalang,plaats/settlement,06-32S/106-47E,B3,II-3b,p. 252
403,Coupan,Koepang/Kupang,plaats/settlement,10-10S/123-35E,B2,II-12,p. 296
403,"Coupan, De",Koepang/Kupang,plaats/settlement,10-10S/123-34E,A3,II-13,p. 298
403,Coupangh,Koepang/Kupang,plaats/settlement,10-10S/123-22E,B2,II-14,p. 300
403,Courine,Kurume,plaats/settlement,33-18N/130-30E,B1,II-40b,p. 370
403,"Cousyn, I.",Ko Losin,eiland/island,07-20N/102E,B1,II-1b,p. 236
403,Coutchin,Cochin/Kochi,plaats/settlement,09-55N/76-14E,B1,I-21,p. 124
403,"Coutchin, De Stadt",Cochin/Kochi,plaats/settlement,09-55N/76-14E,A1/2,I-22d,p. 134
403,Covaer,Puvar,plaats/settlement,08-19N/77-04E,B2,I-21,p. 124
403,Coveay,Bomberai/Bombarai/Koemawa/Kumawa,schiereiland/peninsula,03-45S/133E,A1,II-44,p. 384
403,Covelang,Kovakulam,plaats/settlement,08-04N/77-33E,B1,I-23c,p. 142
403,Cove-langh,Kovakulam,plaats/settlement,08-04N/77-33E,B2,I-21,p. 124
403,Cox Brootje,-,klip/cliff,-,A3,II-46b,p. 390
403,Coxias Droogte,Karang Koko,ondiepte/shoals,07-28-30S/113-07E,B3,II-2a,p. 238
403,"Coxy,Visschers Eylant",-,eiland/island,-,B2,I-30,p. 210
403,Coylacandy,Koyilakkande,plaats/settlement,09-38N/80-06E,A2,I-23r,p. 170
403,"Coylan, t Fort",<Quilon/Kollam>,fort/fortress,08-53N/76-35E,A3RB,I-22f,p. 136
403,"Crabben Eylt., t",Simangke,eiland/island,01-20S-30S/100-30-30E,B3,I-34,p. 214
403,Cracatao,Krakatau/Rakata,eiland/island,06-09S/105-27E,A2,I-37,p. 222
403,Cracatoa,Krakatau/Rakata,eiland/island,06-09S/105-27E,A1,II-2b,p. 240
403,"Cracra, Plo",Clara Island,eiland/island,10-54N/97-55E,A3,I-31,p. 212
403,"Craera, I.",Clara Island,eiland/island,10-54N/97-55E,A3,I-2b,p. 44
403,Cranganoor,Cranganore/Kranganur/Kodungallur,plaats/settlement,10-12N/76-12E,01-B1,I-22a,p. 126-128
403,Cranganoor de Sima,-,plaats/settlement,-,01-B1,I-22a,p. 126-128
403,Cranganor,Cranganore/Kranganur/Kodungallur,plaats/settlement,10-12N/76-12E,B3,I-22b,p. 130
403,"Cranganor, Casteel",<Cranganore/Kranganur/Kodungallur>,fort/fortress,10-12N/76-12E,A1,I-22b,p. 130
403,"Cranganor, Casteel",<Cranganore/Kranganur/Kodungallur>,fort/fortress,10-12N/76-12E,B2/3LO,I-22f,p. 136
403,"Cranganor, Spruyt van",-,rivier/river,-,B3,I-22b,p. 130
403,Crangenoor,Cranganore/Kranganur/Kodungallur,plaats/settlement,10-12N/76-12E,A1,I-2b,p. 44
403,Crangenor,Cranganore/Kranganur/Kodungallur,plaats/settlement,10-12N/76-12E,B3R,I-15,p. 112
403,Crangenor,Cranganore/Kranganur/Kodungallur,plaats/settlement,10-12N/76-12E,B1,I-21,p. 124
403,Crangenor,Cranganore/Kranganur/Kodungallur,plaats/settlement,10-12N/76-12E,A2,I-1,p. 40
403,"Crangenor, t Casteel",<Cranganore/Kranganur/Kodungallur>,fort/fortress,10-12N/76-12E,A1/2 LB/LM,I-22b,p. 130
403,Crap H,Tg. Waifkalettet,kaap/cape,01-15S/131-03E,A2,II-46a,p. 388
403,"Craphoek, De",Tg. Waifkalettet,kaap/cape,01-15S/131-03E,B3,II-46b,p. 390
403,Cratinbosch,-,landstreek/region,-,B1LO,II-17c,p. 308
403,Crauw,Aruor?,plaats/settlement,09-54N/76-18E,02-B1,I-22a,p. 126-128
403,Crawanck,Tjitaroem/Citarum,rivier/river,05-56S/107-06E,B3,II-3a,p. 250
403,"Crawanck, R.",Tjitaroem/Citarum,rivier/river,05-56S/107-06E,A2,II-3a,p. 250
403,"Crawang, t District",Krawang/Karawang,landstreek/region,06-20S/107-15E,A1,II-2b,p. 240
403,"Crocodil, P.",Dongquan Dao,eiland/island,25-57N/119-58E,B1,II-40a,p. 368
403,"Crocodil, Plo",Dongquan Dao,eiland/island,25-57N/119-58E,B1,II-36,p. 360
403,Croen,-,-,-,A2,II-40a,p. 368
403,Cromme Omslagh,-,rivier/river,-,B2,II-33b,p. 350
403,"Crook, R.",-,rivier/river,-,B3,II-1a,p. 234
403,Croonberg,Mendeleeva,berg/mountain,44N/145-43E,A2,II-41,p. 374
403,Croonbergh,Mendeleeva,berg/mountain,44N/145-43E,B2,II-40a,p. 368
403,Crowij,Nanga Gete,rivier/river,08-27S/122-32E,A2,II-12,p. 296
403,Cuama,-,landstreek/region,-,B1,I-1,p. 40
403,Cuama,-,landstreek/region,-,A1,I-2a,p. 42
403,"Cuama, R. de",Zambezi/Rio Cuama,rivier/river,18-50S/36-17E,B1,I-1,p. 40
403,"Cuama, R. de",Zambezi/Rio Cuama,rivier/river,18-50S/36-17E,A1,I-2a,p. 42
403,"Cubile, De",-,eiland/island,-,A1,I-2b,p. 44
403,Cubrana,Ingar,eiland/island,04-21S/131-33E,B2,II-46a,p. 388
403,Cucule Corla,-,landstreek/region,-,B2,I-23a,p. 138
403,Cui,Kui Buri,plaats/settlement,12-03N/99-51E,A1,II-8,p. 288
403,Cui,Kui Buri,plaats/settlement,12-03N/99-51E,B1,II-1b,p. 236
403,"Cui, Po. de",Ko Sattakut,eiland/island,12-12N/100-01E,B1,II-1b,p. 236
403,"Cui, Plo. de",Ko Sattakut,eiland/island,12-12N/100-01E,A1,II-8,p. 288
403,Cuijper,Kuijper/Tjipir/Cipir,eiland/island,06-02S/106-44E,B3,II-2g,p. 244
403,Cuijpers Eyl.,Kuijper/Tjipir/Cipir,eiland/island,06-02S/106-44E,A1,II-3a,p. 250
403,Cumara,Soemare/Sumare,plaats/settlement,02-39S/118-47E,A2,II-10,p. 290
